"","Date","Deaths_previously_reported","Deaths_reported_today","New_total"
"1","05/21",2,0,2
"2","05/22",3,0,3
"3","05/23",6,0,6
"4","05/24",8,0,8
"5","05/25",4,0,4
"6","05/26",10,0,10
"7","05/27",21,0,21
"8","05/28",19,0,19
"9","05/29",21,0,21
"10","05/30",22,0,22
"11","05/31",40,0,40
"12","06/01",22,0,22
"13","06/02",28,0,28
"14","06/03",22,0,22
"15","06/04",29,0,29
"16","06/05",16,0,16
"17","06/06",27,0,27
"18","06/07",34,0,34
"19","06/08",19,0,19
"20","06/09",25,0,25
"21","06/10",14,0,14
"22","06/11",13,0,13
"23","06/12",18,0,18
"24","06/13",19,0,19
"25","06/14",20,0,20
"26","06/15",17,0,17
"27","06/16",14,0,14
"28","06/17",9,0,9
"29","06/18",14,0,14
"30","06/19",14,0,14
"31","06/20",10,0,10
"32","06/21",8,0,8
"33","06/22",6,0,6
"34","06/23",9,0,9
"35","06/24",7,0,7
"36","06/25",2,1,3
"37","06/26",1,2,3
